xmc,ymc,zmc
0,217,0
22,160,-16
-158,176,-13
-10,170,11
31,171,-74
276,203,-334
12,190,118
43,197,-26
81,180,-111
-294,208,66
-44,166,-140
22,185,-9
63,190,-152
-22,169,-165
41,165,-58
-23,196,-29
2,214,-39
-723,192,-182
64,178,-92
20,209,-42
10,188,60
-3,203,-10
-148,165,16
3,190,-34
44,188,-123
-114,158,-131
41,166,-34
17,186,-37
18,152,-150
3,206,-32
-19,188,21
18,176,-55
60,180,-102
26,178,3
-2,165,46
109,242,-63
32,179,-20
-31,187,11
10,172,-40
-2,195,-12
34,185,-11
4,170,-20
-16,210,-19
28,183,-25
1,210,-4
10,171,-45
-142,224,166
3,203,-19
54,124,-107
41,174,-78
15,181,-54
59,180,-94
11,192,75
116,180,-125
18,240,-71
-6,213,-20
43,193,-29
4,189,30
-4,167,52
-1165,206,487
-2,182,19
32,222,35
1,218,0
-10,242,-71
27,196,-32
-16,156,22
-29,253,-53
39,157,-96
44,243,-58
-216,202,-234
-114,199,-26
-70,218,-132
6,203,80
5,133,9
13,207,-30
23,193,-39
13,216,-40
60,179,-103
37,205,-136
-31,175,-33
-29,179,-163
54,179,-105
-14,181,25
-15,161,39
-13,202,-3
32,176,0
24,250,-116
0,184,13
52,191,-139
145,191,-265
60,159,8
54,177,-102
-691,199,-618
-14,204,2
56,232,-354
-93,185,-59
-1,177,22
52,207,-147
35,202,-21
20,196,-58
25,234,-63
-50,191,45
-6,185,-11
18,177,-23
17,179,-25
130,203,376
-3,190,24
274,203,170
22,226,-72
-49,176,-148
13,175,-23
-4,191,5
-35,185,-166
36,253,-58
11,176,-27
-120,207,-25
247,202,353
3,231,-49
9,179,-2
-77,-63,-152
62,147,-5
8,191,-34
28,241,-50
1,202,55
-36,245,45
-101,237,-67
30,157,-110
-5,175,-15
24,236,-63
-90,103,-51
101,201,-11
29,244,-57
31,133,-13
-11,165,27
15,180,-11
-52,182,-156
-42,229,-74
2,231,-44
184,93,34
3,178,-11
20,147,-61
111,74,-63
-21,198,-34
13,195,-61
4,212,-31
-22,231,-12
-38,250,-76
18,181,-5
21,177,-37
13,210,-21
33,178,-28
54,194,-108
37,202,-61
-3,228,-192
5,164,-37
0,202,-28
33,161,2
16,202,-44
-423,201,-210
-6,193,138
37,236,-56
-26,221,-86
-68,154,-124
25,193,-37
49,204,-138
807,187,752
-13,203,-7
12,176,-15
37,191,-141
85,108,95
7,178,-37
-106,160,-129
249,208,-112
-14,181,62
-9,219,22
64,184,-99
-6,145,87
-159,99,61
-106,196,-52
-104,219,-84
-105,220,-89
1,208,-37
-38,148,5
-38,206,-33
26,185,-42
42,192,-47
-58,129,-129
-34,211,-174
52,157,-139
60,225,-24
28,194,-40
1,179,90
16,212,-17
61,184,-39
-31,243,-43
-50,161,-152
-5,160,41
37,217,-55
80,205,-157
145,208,240
-30,155,-55
3,212,-53
-48,247,-124
-8,243,-77
169,193,127
11,189,-27
4,199,25
7,214,-37
4,179,52
-89,218,-75
-24,240,-29
34,134,-47
-45,197,-649
18,219,30
63,238,-160
-6,165,-131
2,202,-53
26,249,-111
51,185,-57
18,179,-48
-2,181,22
24,175,-34
-125,136,-99
-61,205,-71
7,153,-32
40,182,-70
201,203,419
22,186,-8
28,189,-46
-14,218,-55
-1,122,160
48,193,20
50,201,-148
-84,231,-74
-7,164,39
34,178,43
20,215,-46
104,180,34
15,169,0
17,151,-13
47,198,-87
-137,205,-334
37,204,138
527,203,81
22,223,-69
432,207,-25
15,231,40
40,208,-117
20,170,12
86,111,38
-21,181,14
4,202,-32
-99,190,-93
-4,212,-38
37,172,2
-24,206,16
12,191,-26
30,184,-10
5,194,140
-120,205,186
90,167,-111
-67,230,-60
18,198,-26
0,169,25
56,164,-140
-207,181,38
24,188,-59
3,217,34
56,178,-78
45,180,-10
32,178,-68
274,200,-317
-100,226,-43
-16,210,6
13,177,56
-4,169,26
-14,171,27
24,169,-9
32,224,-137
68,175,73
-18,233,-19
-14,158,49
-18,149,162
-131,197,-19
7,213,-36
-29,212,-13
48,213,-145
60,157,-86
28,173,18
155,65,-50
11,180,-5
23,235,-55
22,191,-136
93,155,-123
19,189,-11
23,191,-14
-89,179,-103
23,177,13
0,187,-20
52,184,-143
41,180,-25
34,188,-15
111,13,-156
21,190,-11
-120,204,-37
43,186,-36
28,204,-128
-20,176,16
47,168,-42
-25,182,4
7,210,61
-69,241,-164
24,116,71
8,168,24
83,210,-135
-122,207,-20
-61,170,-120
20,189,-20
0,184,54
327,-153,230
-43,201,-44
3,168,2
-12,169,62
-6,124,118
25,169,-2
22,187,-11
56,201,-125
1,178,-3
1372,204,-774
8,185,10
1,247,-13
23,196,3
37,205,-49
19,179,-32
-165,193,-37
1,170,10
94,147,-150
11,236,-51
-1,205,-27
27,170,-54
52,176,-96
-141,171,-25
-108,189,-96
43,178,-50
23,192,5
34,167,16
147,253,-20
45,173,0
28,192,-74
111,133,-108
26,207,-70
-140,156,60
53,175,-2
-8,188,24
18,213,-41
736,189,-777
51,171,-144
-166,192,-22
45,206,-161
7,187,-33
-2,154,53
-515,205,-78
34,158,12
47,247,-57
-135,155,-62
41,169,44
10,178,-18
-4,185,-38
8,206,54
22,177,-7
-19,204,2
15,161,-32
26,184,-18
20,151,-28
-100,200,-56
-91,213,-68
35,178,-1
79,179,-111
-14,186,-19
-18,163,68
-18,239,-13
-112,203,677
29,198,-38
119,216,-457
32,219,-146
10,209,-65
-98,190,-235
-94,219,83
34,233,-33
83,175,-167
111,186,-133
-106,186,-75
23,221,-55
17,229,-48
87,73,-35
-31,222,-71
45,202,-74
-77,189,-3
-125,195,-120
-35,173,-137
105,177,124
194,115,-113
29,155,-11
-192,204,-94
30,208,-39
432,203,-67
15,186,-26
-19,221,-7
-72,174,-71
-102,215,-75
-102,215,-75
28,178,-6
66,224,-151
262,194,106
-2,218,74
-40,207,227
-53,174,120
34,179,-7
106,104,-135
12,188,-27
-42,174,-129
-50,234,-85
-813,179,-900
15,180,-27
-11,190,-10
89,229,-8
19,164,22
7,188,-11
-225,205,-477
24,221,-54
-42,169,-133
-41,223,-1
7,205,-23
-12,237,-53
42,213,12
7,190,-6
5,174,1
-45,193,-158
6,210,98
-8,61,84
-40,157,-161
-46,189,-161
16,186,-1
22,239,-77
48,190,-95
-66,226,-115
-186,155,60
-55,204,-74
39,213,-182
35,150,-13
34,171,-4
55,208,-121
-1,189,0
-6,238,-37
37,176,-8
-20,247,-77
1,174,16
43,185,104
167,203,480
22,211,-46
726,213,-649
41,230,-124
41,230,-124
30,194,-15
-25,199,-42
29,175,-110
-6,188,13
43,185,19
-265,193,-145
-2,187,25
-6,200,-36
-65,238,-175
69,155,-198
-17,168,23
-3,176,80
-19,207,12
-81,189,-126
7,213,-51
-14,177,13
47,162,-104
60,142,-65
-12,197,6
73,141,-162
-114,205,-100
274,198,137
-35,187,-144
15,178,-42
-48,213,-98
21,179,-71
-36,180,-70
9,230,-61
-83,242,-64
48,176,-83
17,169,0
-42,186,-172
2,246,-44
17,176,-4
5,223,39
-49,253,-64
32,169,-72
8,147,-5
28,241,-70
-82,169,-89
12,172,-58
35,167,0
40,177,-31
-7,220,-13
12,203,-33
14,212,-109
57,172,-79
40,185,-9
-82,185,-37
21,155,-58
-21,203,-374
-37,168,-30
24,240,-67
-4,183,15
-31,206,13
64,86,-118
32,198,-31
23,187,-29
-12,204,2
-4,241,-87
-15,198,-8
-92,192,-108
-17,167,4
14,181,24
32,174,0
-112,202,-428
-235,202,225
230,-81,170
60,218,-163
14,211,-32
334,200,-7
86,221,20
27,174,-68
101,253,27
28,213,-110
-9,189,-19
52,157,-123
34,240,-67
15,198,-16
32,210,-162
42,188,-22
25,195,-28
7,194,145
39,191,-34
62,167,-73
24,193,-3
5,165,-8
9,213,-28
7,175,5
-161,197,-19
11,158,-21
-183,202,255
10,186,12
-32,167,15
25,157,-26
-148,196,15
20,188,-72
56,168,29
216,204,98
22,214,-40
-662,205,-475
11,139,-55
-66,167,-129
-220,201,-657
-34,177,-159
24,177,3
-10,168,-25
41,163,2
-7,203,81
-122,232,-36
14,203,-45
51,196,-142
9,238,-50
-15,187,10
0,220,-42
9,135,-52
14,186,-18
-21,185,12
35,196,-55
18,165,-45
43,167,-29
-10,191,24
21,171,-8
74,180,10
17,161,-16
-6,189,26
-37,219,-106
-16,173,-164
858,216,-390
53,162,-77
1,180,-42
-14,186,10
185,150,921
-76,245,-52
19,149,-35
-119,220,-33
98,203,380
-51,177,-141
105,154,-128
-19,193,-161
22,187,-22
190,203,32
-9,147,-29
22,204,52
52,181,-60
18,159,-42
-102,190,-8
64,75,89
-14,167,62
-251,204,-573
-232,204,-86
0,192,45
15,165,-46
28,165,37
-4,215,-19
-12,77,24
-18,186,24
68,224,-33
384,206,106
3,208,67
441,201,572
98,234,-12
34,173,21
44,150,40
66,190,-107
13,176,-42
-188,101,41
-25,223,-30
12,183,12
15,197,-52
-8,180,14
16,156,-44
-123,220,-24
32,212,15
80,181,-106
73,203,-74
-15,232,-55
20,203,-45
15,151,-7
0,211,-32
4,198,-32
16,151,-157
62,173,-7
-12,194,56
-19,189,8
18,183,-42
-12,189,8
56,239,-63
-10,178,46
-544,208,455
-70,180,-136
30,187,-13
87,2,86
34,248,-57
11,193,-18
11,193,-18
1,217,-68
34,196,-84
5,178,11
55,92,-81
-6,218,-59
4,164,22
-6,194,16
13,176,-157
29,146,-25
15,189,-8
-255,203,211
240,203,1689
12,179,-51
575,223,-1454
555,200,107
19,216,-43
51,215,-29
120,107,-46
3,229,-24
75,241,-203
27,192,-29
36,188,-49
55,182,-63
-99,208,-81
-145,201,212
-371,222,57
-19,227,-25
-90,221,-155
-12,180,45
155,201,299
34,247,-120
13,143,-46
62,136,67
55,181,-137
-167,193,2
9,185,7
21,166,14
-10,175,-14
397,201,-224
-103,174,-120
-75,226,-70
-13,232,-331
0,186,22
-35,171,-138
-102,209,-100
-28,211,-32
-19,212,-6
-109,176,-76
-111,190,-66
-2,238,-45
36,186,10
56,190,-683
22,233,0
43,177,-56
3,202,-20
-121,206,-63
-134,187,-19
86,177,-109
17,214,-37
26,141,18
60,181,-117
17,225,-49
41,179,28
-280,202,-300
52,192,-149
-148,210,-93
-27,234,-136
-12,171,34
-9,213,-2
14,211,-57
-69,226,1
-123,184,-64
28,182,-18
13,191,-25
-5,206,-33
-222,204,156
113,189,-117
-23,216,86
25,184,-11
60,152,-148
15,215,-22
-194,204,142
33,180,-3
33,217,-7
28,243,-135
22,145,-17
-55,135,61
-66,201,-99
45,185,-25
85,208,-143
-17,221,-13
-14,208,2
-15,223,24
-22,252,-57
35,208,-56
-33,180,-164
55,173,-114
23,202,-71
3,196,63
34,214,-38
50,175,-140
38,175,-35
-19,230,-25
20,180,0
4,193,137
33,163,-33
-8,184,0
-25,149,2
19,201,-30
46,216,-137
39,192,-36
-29,146,-31
-4,196,48
1,246,-23
20,176,21
56,179,-92
19,162,15
7,219,7
-14,173,17
3,174,17
27,181,-16
42,246,-57
43,163,-11
-10,241,-65
18,186,-38
-52,226,-45
-25,216,135
65,171,-102
20,187,-4
-2,168,61
33,185,-29
-23,223,-25
-95,223,-87
58,179,15
